,trade,rights,health,free press
0,carriage_trade,civil_right,animal_disease,free_press
1,commercial_enterprise,equality_before_the_law,anthrax,magazine
2,distribution,freedom_of_thought,aspergillosis,mag
3,e-commerce,right_to_liberty,autoimmune_disease,newspaper
4,evasion,right_to_life,blackwater,paper
5,exchange,right_to_privacy,cat_scratch_disease,journalist
6,exporting,right_to_the_pursuit_of_happiness,communicable_disease,reporter
7,importing,compulsory_process,complication,news
8,initial_public_offering,conjugal_right,crud,truth
9,marketing,conjugal_visitation_right,deficiency_disease,fake_news
10,payment,copyright,disease_of_the_neuromuscular_junction,
11,selling,eminent_domain,endemic,
12,trade,franchise,enteropathy,
13,trading,patent_right,exanthema_subitum,
14,traffic,preemption,eye_disease,
15,canola,right_of_election,fibrocystic_breast_disease,
16,pork,right_of_entry,filariasis,
17,,right_of_offset,genetic_disease,
18,,right_of_privacy,goiter,
19,,right_of_re-entry,incompetence,
20,,seat,inflammatory_disease,
21,,tenure,kawasaki_disease,
22,,title,liver_disease,
23,,use,malignancy,
24,,usufruct,marseilles_fever,
25,,visitation_right,meniere's_disease,
26,,,milk_sickness,
27,,,mimesis,
28,,,occupational_disease,
29,,,onychosis,
30,,,ozena,
31,,,periarteritis_nodosa,
32,,,periodontal_disease,
33,,,plant_disease,
34,,,pycnosis,
35,,,respiratory_disease,
36,,,rheumatism,
37,,,sandfly_fever,
38,,,skin_disease,
39,,,health,
40,,,wellness,
41,,,illness,
42,,,health,
43,,,COVID,
44,,,coronavirus,
